"year","title","journal","doi_or_url","study_type","cohort","modality","methods","main finding","relevance_to_current_claim","novelty_status","limitations"
"2019","Prediction of Conversion From Amnestic Mild Cognitive Impairment to Alzheimer's Disease Based on the Brain Structural Connectome","Frontiers in Neurology","https://doi.org/10.3389/fneur.2018.01178","primary longitudinal machine-learning study","52 aMCI and 26 controls; converters versus non-converters","DTI tractography","graph features and SVM","Default-mode structural disruption was more severe in converters; internal converter classification reached about 81 percent","Conversion prediction from topology is established prior art","established prior art","Small converter sample and no external validation"
"2019","Connectome-wide network analysis of white matter connectivity in Alzheimer's disease","NeuroImage: Clinical","https://doi.org/10.1016/j.nicl.2019.101690","primary continuum connectome study","161 CN, stable MCI, converter MCI and AD","DTI tractography","multivariate distance-matrix regression and discriminant analysis","Disease-related seed networks expanded with severity; nine regions distinguished CN, converter MCI and AD","Connectome-wide edge signatures and limbic-subcortical findings are established","established prior art","Cross-sectional baseline with modest subgroups and internal discrimination"
"2019","Multiparametric graph theoretical analysis reveals altered structural and functional network topology in Alzheimer's disease","NeuroImage: Clinical","https://doi.org/10.1016/j.nicl.2019.101680","primary multimodal study","27 controls, 23 MCI, 23 AD before QC","DTI and resting-state fMRI","FA, streamline count, inverse diffusivity and functional edge definitions","Limbic, prefrontal and occipital topology varied by edge definition; tract diffusivities were often more interpretable than counts","Direct prior art for integrating FA, MD, RD, axial diffusivity and graph metrics","established prior art","Small single-site cohort; age and education differed among groups"
"2019","Disrupted structural and functional brain networks in Alzheimer's disease","Neurobiology of Aging","https://doi.org/10.1016/j.neurobiolaging.2018.11.005","primary multimodal connectome study","AD and controls","DTI and resting-state fMRI","structural and functional graph analysis","AD showed related but nonidentical structural and functional network disruption","An SC-FC story is established and should not conflate modalities","established prior art","Cross-sectional and modality-specific preprocessing choices"
"2019","Effects of Brain Parcellation on the Characterization of Topological Deterioration in Alzheimer's Disease","Frontiers in Aging Neuroscience","https://doi.org/10.3389/fnagi.2019.00113","primary methodological AD study","ADNI AD spectrum","dMRI structural connectomes","four atlas and scale comparisons","Which graph measures separated groups changed materially across parcellations","Any proposed signature requires cross-atlas sensitivity analysis","methodological prior art","ADNI-only and a limited atlas set"
"2020","Abnormal Anatomical Rich-Club Organization and Structural–Functional Coupling in Mild Cognitive Impairment and Alzheimer's Disease","Frontiers in Neurology","https://doi.org/10.3389/fneur.2020.00053","primary multimodal connectome study","CN, MCI and AD","dMRI and resting-state fMRI","rich-club analysis and structural-functional coupling","Rich-club organization and coupling were abnormal across MCI and AD","Rich-club plus SC-FC coupling is established prior art","established prior art","Cross-sectional and sensitive to hub and threshold definitions"
"2020","Compensatory Brain Connection Discovery in Alzheimer's Disease","IEEE ISBI","https://doi.org/10.1109/ISBI45749.2020.9098440","primary conference validation study","public dMRI cohorts with replication databases","dMRI tractography","anti-correlated structural-edge pairs","Anti-correlated connections were proposed as compensatory pathways and validated across datasets","A generic compensation claim from inverse edge correlations is prior art","established prior art","Correlation is not neural compensation; conference-length report"
"2021","Disrupted Network Topology Contributed to Spatial Navigation Impairment in Patients With Mild Cognitive Impairment","Frontiers in Aging Neuroscience","https://doi.org/10.3389/fnagi.2021.630677","primary cognitive-connectome study","MCI and controls","dMRI tractography and navigation testing","graph topology and cognition associations","Topology disruption related to spatial-navigation impairment in MCI","Specific cognitive-domain links beyond memory are already studied","established prior art","Cross-sectional and clinically defined MCI"
"2021","Combined Support Vector Machine Classifier and Brain Structural Network Features for the Individual Classification of Amnestic Mild Cognitive Impairment and Subjective Cognitive Decline Patients","Frontiers in Aging Neuroscience","https://doi.org/10.3389/fnagi.2021.687927","primary machine-learning study","51 CN, 36 SCD, 51 aMCI","dMRI tractography","multi-kernel SVM using fiber-number, FA and MD connectomes","Combining edge definitions differentiated SCD and aMCI; MD-weighted frontal connections were informative","Multikernel classification across FN, FA and MD is established","established prior art","Single cohort and internal validation only"
"2022","Consistency of Graph Theoretical Measurements of Alzheimer's Disease Fiber Density Connectomes Across Multiple Parcellation Scales","IEEE BIBM","https://doi.org/10.1109/BIBM55620.2022.9995657","primary methodological AD study","ADNI CN, MCI and AD","DTI tractography","five Lausanne parcellation scales","Transitivity was most consistent; characteristic path length was highly scale-sensitive","Cross-scale replication is mandatory for topology claims","methodological prior art","Conference paper, ADNI-only and four global metrics"
"2023","Sex differences in the structural rich-club connectivity in patients with Alzheimer's disease","Frontiers in Aging Neuroscience","https://doi.org/10.3389/fnagi.2023.1209027","primary large biomarker study","260 amyloid-negative CN, 281 prodromal AD, 285 AD dementia","DTI, structural MRI and amyloid PET","sex-by-diagnosis rich-club analysis","Women with AD showed lower rich-club and feeder connectivity than men","Direct novelty killer for a sex-specific rich-club claim","established prior art","Cross-sectional and potential residual sex-related anatomy and scanner effects"
"2023","Structural Network Topology Reveals Higher Brain Resilience in Individuals with Preclinical Alzheimer's Disease","Brain Connectivity","https://doi.org/10.1089/brain.2023.0013","primary biomarker-defined preclinical study","68 cognitively normal: A-T-, A+T- and A+T+","dMRI, amyloid PET and tau PET","global and nodal topology","A+T+ cognitively normal participants showed higher assortativity without a global-efficiency difference, interpreted as resilience","Preclinical compensatory or resilient topology is already a candidate framework","established prior art","Small pathology strata and cross-sectional interpretation"
"2024","Multimodal imaging investigation of structural rich club alterations in Alzheimer's disease and mild cognitive impairment: Amyloid deposition, structural atrophy, and functional activation differences","European Journal of Neuroscience","https://doi.org/10.1111/ejn.16384","primary multimodal study","MCI, AD and controls","dMRI, longitudinal structural MRI, amyloid PET and meta-analytic function","rich-club and extended-core analyses","Rich-club regions showed accelerated atrophy and increased amyloid in MCI and AD","Direct prior art for multimodal hub vulnerability","established prior art","Some functional evidence was meta-analytic rather than subject-specific"
"2024","A novel method for PET connectomics guided by fibre-tracking MRI: Application to Alzheimer's disease","Human Brain Mapping","https://doi.org/10.1002/hbm.26659","primary method application","ADNI HC, EMCI, LMCI and AD","tau PET, dMRI and T1 MRI","SIFT2 structural connectome, track-weighted PET and NBS","Structural connectivity decreased from LMCI onward while tau-weighted connectivity increased from EMCI; limbic edges recurred","Direct novelty killer for SIFT2 plus tau-PET edge weighting and NBS","established prior art","Novel edge measure needs independent biological validation; ADNI reuse"
"2024","Structural white matter connectivity differences independent of gray matter loss in mild cognitive impairment with neuropsychiatric symptoms: Early indicators of Alzheimer's disease using network-based statistics","Journal of Alzheimer's Disease","https://doi.org/10.1177/13872877241288710","primary ADNI NBS study","ADNI MCI with and without neuropsychiatric symptoms","dMRI and structural MRI","NBS adjusted for gray-matter loss","White-matter subnetworks differed with neuropsychiatric symptoms independently of gray-matter loss","NBS subnetwork claims must be specific because symptom-stratified work exists","established prior art","Cross-sectional ADNI analysis and primary-threshold dependence"
"2025","Integrating individualized connectome with amyloid pathology improves predictive modeling of future cognitive decline","Communications Medicine","https://doi.org/10.1038/s43856-025-01170-5","primary longitudinal externally validated study","77 discovery participants and 72 ADNI3 external participants","subject-specific dMRI connectome, amyloid PET, tau PET and cognition","connectome-informed pathology features with repeated cross-validation and external testing","Individual structural-connectome-weighted amyloid improved prediction of future cognition and partially generalized across cohorts","Direct novelty killer for individualized connectome plus amyloid plus external prediction","established prior art","Small cohorts, some outcomes failed external validation and no multiplicity correction for selected follow-ups"
"2010","Complex network measures of brain connectivity: Uses and interpretations","NeuroImage","https://doi.org/10.1016/j.neuroimage.2009.10.003","network-methods review","not applicable","structural and functional connectivity","definitions and interpretation of graph measures","Established how segregation, integration, centrality and resilience measures should be interpreted","Required foundation for any graph-theory claim","methodological prior art","Generic framework rather than an AD-specific validation"
"2010","Network-based statistic: Identifying differences in brain networks","NeuroImage","https://doi.org/10.1016/j.neuroimage.2010.06.041","primary statistical-method paper","simulation and neuroimaging examples","connectivity matrices","connected-component family-wise-error control","NBS controls component-level family-wise error while exploiting connected effects","Critical for interpreting significant subnetworks; significance attaches to the component, not each edge","methodological prior art","Inference depends on the chosen primary threshold and does not localize individually significant edges"
"2010","Comparing brain networks of different size and connectivity density using graph theory","PLoS ONE","https://doi.org/10.1371/journal.pone.0013701","primary methodological study","simulations and empirical networks","graph data","density and size sensitivity analyses","Many graph metrics change systematically with network size and density","Density-matched or cost-integrated sensitivity analysis is required","methodological prior art","Does not prescribe one universally optimal normalization"
"2012","Anatomically constrained tractography: Improved diffusion MRI streamlines tractography through effective use of anatomical information","NeuroImage","https://doi.org/10.1016/j.neuroimage.2012.06.005","primary tractography-method paper","method validation datasets","T1 MRI and dMRI","ACT","Anatomical tissue constraints reduce biologically implausible streamline trajectories","MRtrix ACT is established methodology and not a biological novelty","methodological prior art","Accuracy still depends on registration, segmentation and tractography parameters"
"2012","A network diffusion model of disease progression in dementia","Neuron","https://doi.org/10.1016/j.neuron.2011.12.040","primary computational disease-model study","patient atrophy data with a healthy structural-connectome template","structural MRI and normative dMRI connectome","network diffusion model","A simple diffusion process on the structural network reproduced characteristic regional atrophy patterns","Network-mediated AD spread has been formalized for more than a decade","established prior art","Template connectome and regional atrophy cannot demonstrate individual axonal propagation"
"2013","White matter integrity, fiber count, and other fallacies: The do's and don'ts of diffusion MRI","NeuroImage","https://doi.org/10.1016/j.neuroimage.2012.06.081","critical methods review","not applicable","diffusion MRI","biophysical interpretation audit","FA, MD, streamline count and related measures are nonspecific and can reflect multiple tissue or modeling factors","Prevents mechanistic over-interpretation of FA or streamline-weight changes","methodological prior art","Conceptual guidance rather than a complete generative tissue model"
"2014","Spurious group differences due to head motion in a diffusion MRI study","NeuroImage","https://doi.org/10.1016/j.neuroimage.2013.11.027","primary methodological study","healthy and clinical-style group comparisons","dMRI","motion-bias experiments","Residual head-motion differences can create apparent diffusion group effects","Motion summaries and sensitivity analyses are mandatory in CN-MCI-AD comparisons","methodological prior art","Correction procedures and acquisition technology have evolved since publication"
"2014","Anatomical accuracy of brain connections derived from diffusion MRI tractography is inherently limited","Proceedings of the National Academy of Sciences","https://doi.org/10.1073/pnas.1405672111","primary tractography-validation study","ex vivo macaque tracer benchmark","diffusion MRI and invasive tracers","tractography-versus-tracer validation","Diffusion tractography showed fundamental limits in recovering true anatomical connectivity","A connectome edge is an algorithm-dependent estimate, not a verified axonal connection","methodological prior art","Nonhuman ex vivo benchmark and tractography methods continue to improve"
"2014","Multi-tissue constrained spherical deconvolution for improved analysis of multi-shell diffusion MRI data","NeuroImage","https://doi.org/10.1016/j.neuroimage.2014.07.061","primary diffusion-method paper","method-development datasets","multi-shell dMRI","multi-shell multi-tissue CSD","Separating tissue response functions improves fiber-orientation estimation in partial-volume regions","Advanced CSD is established pipeline methodology","methodological prior art","Requires suitable acquisition and accurate response-function estimation"
"2015","SIFT2: Enabling dense quantitative assessment of brain white matter connectivity using streamlines tractography","NeuroImage","https://doi.org/10.1016/j.neuroimage.2015.06.092","primary tractography-method paper","method-development and validation datasets","CSD tractography","SIFT2 streamline weighting","Per-streamline weights improve agreement between tractography and fiber-density information","SIFT2-weighted connectomes are established and are not intrinsically quantitative axon counts","methodological prior art","Weights remain model dependent and do not solve all false-positive tractography"
"2015","Overcoming the effects of false positives and threshold bias in graph theoretical analyses of neuroimaging data","NeuroImage","https://doi.org/10.1016/j.neuroimage.2015.05.011","primary methodological study","simulated and empirical neuroimaging networks","structural and functional network data","false-positive and threshold-bias analysis","False positives and threshold choice can materially distort graph measures and group comparisons","Any topology finding requires a prespecified threshold strategy and robustness curve","methodological prior art","No single thresholding strategy resolves every network-construction bias"
"2015","Test-retest reproducibility of the structural connectome over multiple parcellation scales","Frontiers in Neuroinformatics","https://pmc.ncbi.nlm.nih.gov/articles/PMC4557836/","primary reproducibility study","repeat-scan healthy participants","dMRI tractography","multi-scale connectome reproducibility","Reproducibility differs by parcellation scale, edge weight and metric","Edge and graph conclusions should be tested across construction choices","methodological prior art","Healthy repeat scans do not capture disease-specific motion or atrophy"
"2015","Network diffusion model of progression predicts longitudinal patterns of atrophy and metabolism in Alzheimer's disease","Cell Reports","https://doi.org/10.1016/j.celrep.2014.12.034","primary longitudinal computational study","ADNI longitudinal imaging","structural MRI, FDG PET and normative connectome","network diffusion modeling","Baseline network-diffusion predictions tracked later atrophy and hypometabolism patterns","Longitudinal network-spread prediction is established prior art","established prior art","Uses a template connectome and population-level patterns rather than subject-specific tract injury"
"2017","The challenge of mapping the human connectome based on diffusion tractography","Nature Communications","https://doi.org/10.1038/s41467-017-01285-x","large international tractography benchmark","96 international tractography pipelines on a realistic phantom","diffusion tractography","blind connectome reconstruction challenge","Most pipelines produced many false-positive bundles and no method solved sensitivity-specificity tradeoffs","Strong caution against treating all detected edges as anatomical truth","methodological prior art","Phantom anatomy and signal cannot reproduce every in-vivo disease effect"
"2017","Investigating white matter fibre density and morphology using fixel-based analysis","NeuroImage","https://doi.org/10.1016/j.neuroimage.2016.09.029","primary methods framework","methodological examples","high-angular-resolution dMRI","fiber-population-specific analysis","Fixel metrics permit fiber-specific inference in crossing-fiber voxels","FBA is established and can strengthen specificity beyond voxelwise FA","methodological prior art","Biological interpretation still depends on acquisition, modeling and registration"
"2017","Harmonization of multi-site diffusion tensor imaging data","NeuroImage","https://doi.org/10.1016/j.neuroimage.2017.08.047","primary harmonization-method study","multi-site dMRI datasets","DTI","ComBat harmonization","ComBat removed scanner effects while preserving biological covariates in regional DTI measures","Site harmonization is required for pooled diagnostic analyses","methodological prior art","Basic ComBat assumes specified covariates and may not handle nonlinear or spatially complex scanner effects"
"2018","Structural tract alterations predict downstream tau accumulation in amyloid-positive older individuals","Nature Neuroscience","https://doi.org/10.1038/s41593-018-0070-z","primary longitudinal pathology study","amyloid-positive older adults with longitudinal tau PET","dMRI, amyloid PET, tau PET and cognition","hippocampal-cingulum diffusivity and connectivity analyses","Higher diffusivity in hippocampal output tracts predicted later connected-neocortical tau accumulation and memory decline","Direct novelty killer for a generic limbic-tract-to-tau-to-memory mechanism","established prior art","Modest cohort and observational mediation cannot prove trans-neuronal spread"
"2018","Limits to anatomical accuracy of diffusion tractography using modern approaches","NeuroImage","https://doi.org/10.1016/j.neuroimage.2018.10.029","primary validation study","tracer-informed nonhuman-primate data","dMRI and invasive tracers","modern tractography validation","Modern algorithms remained limited by false positives and incomplete recovery of known pathways","Pipeline sophistication does not eliminate anatomical uncertainty","methodological prior art","Nonhuman validation and specific acquisition protocols"
"2019","MRtrix3: A fast, flexible and open software framework for medical image processing and visualisation","NeuroImage","https://doi.org/10.1016/j.neuroimage.2019.116137","software-method paper","not applicable","diffusion MRI and MRI","MRtrix3 framework","Documented the widely used open-source implementation for CSD, tractography and connectomics","Using MRtrix3 is implementation provenance, not novelty","methodological prior art","Software flexibility increases the need to report every parameter and version"
"2019","Connectomes from streamlines tractography: Assigning streamlines to brain parcellations is not trivial but highly consequential","NeuroImage","https://doi.org/10.1016/j.neuroimage.2019.05.005","primary methodological study","in-house and Human Connectome Project data","diffusion tractography","streamline-to-node assignment comparison","Minor assignment changes altered pairwise connectivity, modules and graph metrics","Node-assignment and construction sensitivity are central to biological claims","methodological prior art","No single assignment solution guarantees anatomical ground truth"
"2019","Graph convolutional neural networks for Alzheimer's disease classification","IEEE International Symposium on Biomedical Imaging","https://doi.org/10.1109/ISBI.2019.8759531","primary machine-learning conference study","ADNI diagnostic groups","dMRI structural connectomes","graph convolutional neural network","A graph neural network classified AD-related groups using structural-connectome topology","Direct novelty killer for a generic GNN-on-DTI-connectome claim","established prior art","Conference-scale study with limited external validation and interpretability"
"2020","Explainable Brain Disease Classification and Relevance-Guided Deep Learning","Proceedings of Machine Learning Research: MIDL","https://proceedings.mlr.press/v121/essemlali20a.html","primary machine-learning conference study","ADNI structural connectomes","dMRI tractography","BrainNetCNN with relevance-guided explainability","Connectome-specific deep learning produced diagnoses and edge-level relevance maps","Explainable connectome classification is established","established prior art","Saliency is not causal and validation was dataset-limited"
"2021","Longitudinal predictive modeling of tau progression along the structural connectome","NeuroImage","https://doi.org/10.1016/j.neuroimage.2021.118126","primary longitudinal pathology-model study","longitudinal tau-PET cohort","tau PET and structural-connectome model","personalized network diffusion modeling","Structural-connectome-constrained models predicted longitudinal regional tau progression","Direct prior art for connectome-based tau-spread prediction","established prior art","Model predictions depend on the connectome template or estimation and assumed diffusion dynamics"
"2021","Deep fusion of brain structure-function in mild cognitive impairment","Medical Image Analysis","https://doi.org/10.1016/j.media.2021.102082","primary machine-learning study","MCI and control neuroimaging cohort","structural and functional connectivity","deep multimodal structure-function fusion","Joint connectivity representations improved MCI classification over single modalities","Multimodal deep fusion is established","established prior art","Classification performance does not itself reveal disease mechanism; external transportability limited"
"2023","Whole-brain modeling of the differential influences of amyloid-beta and tau in Alzheimer's disease","Alzheimer's Research & Therapy","https://doi.org/10.1186/s13195-023-01349-9","primary whole-brain modeling study","ADNI biomarker and neuroimaging data","MRI, amyloid PET, tau PET and connectome-informed simulation","whole-brain dynamic modeling","The fitted model suggested greater amyloid influence in MCI and greater tau influence in AD on excitation-inhibition dynamics","A generic whole-brain mechanistic-network framing is already occupied","established prior art","Model identifiability and causal interpretation remain challenging"
"2023","Alzheimer's Disease Prediction via Brain Structural-Functional Deep Fusing Network","IEEE Transactions on Neural Systems and Rehabilitation Engineering","https://doi.org/10.1109/TNSRE.2023.3333952","primary machine-learning study","ADNI diagnostic groups","DTI and functional MRI","cross-modal transformer generative adversarial network","CT-GAN fused structural and functional connectivity for AD-stage prediction and highlighted influential connections","Transformers and cross-modal imaging fusion are established","established prior art","Generative fidelity and internal diagnostic accuracy do not establish biological novelty"
"2024","Information leakage inflates prediction performance in connectome-based machine learning","Nature Communications","https://doi.org/10.1038/s41467-024-46150-w","primary methodological study","large neuroimaging prediction benchmarks","connectome and phenotypic data","leakage experiments across preprocessing and cross-validation","Data leakage can markedly inflate connectome prediction performance","All preprocessing, feature selection, harmonization and tuning must occur within subject-level training folds","methodological prior art","Exact leakage modes differ across datasets and pipelines"
"2024","Multi-Modal Graph Neural Network with Transformer-Guided Adaptive Diffusion for Preclinical Alzheimer Classification","Medical Image Computing and Computer Assisted Intervention","https://doi.org/10.1007/978-3-031-72086-4_48","primary machine-learning conference study","preclinical Alzheimer classification cohort","white-matter connectome, structural MRI and PET-derived features","graph neural network with transformer-guided adaptive diffusion","Short- and long-range graph information from multiple modalities improved preclinical AD classification and highlighted candidate ROIs","Direct novelty killer for a generic multimodal GNN-transformer claim","established prior art","Conference study and limited evidence of external clinical transportability"
"2025","Synaptic loss pattern is constrained by brain connectome and modulated by phosphorylated tau in Alzheimer's disease","Nature Communications","https://doi.org/10.1038/s41467-025-61497-4","primary multimodal pathology study","54 amyloid-negative controls and 91 amyloid-positive participants","SV2A PET, amyloid PET, plasma p-tau and normative connectome","epicenter-connectivity and longitudinal synaptic-loss modeling","Synaptic loss patterns were partially constrained by network topology and modulated by p-tau181","Connectome-constrained downstream injury is already demonstrated beyond dMRI","established prior art","Mostly normative functional connectivity, only 18 longitudinal cases and observational inference"
